MeasurementTime,VehicleType,VehicleFlowRate,AverageVehicleSpeed,CountyNo,Geometry,RegionId
2025-08-03T10:47:00.000+02:00,anyVehicle,420,77.09,1,"{'SWEREF99TM': 'POINT (675747 6577109.94)', 'WGS84': 'POINT (18.086266 59.296234)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1500,66.27,1,"{'SWEREF99TM': 'POINT (675893.03 6576154.87)', 'WGS84': 'POINT (18.088049 59.28761)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,900,72.65,1,"{'SWEREF99TM': 'POINT (673512.96 6584806.2)', 'WGS84': 'POINT (18.05329 59.366173)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,86.3,1,"{'SWEREF99TM': 'POINT (665869.96 6587617.95)', 'WGS84': 'POINT (17.921173 59.394466)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1140,63.63,1,"{'SWEREF99TM': 'POINT (672758.97 6576998.97)', 'WGS84': 'POINT (18.03379 59.29647)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,73.29,1,"{'SWEREF99TM': 'POINT (653812.96 6566157.19)', 'WGS84': 'POINT (17.693848 59.206535)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,72.75,1,"{'SWEREF99TM': 'POINT (671610.99 6585217.08)', 'WGS84': 'POINT (18.020203 59.370636)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,74.66,1,"{'SWEREF99TM': 'POINT (668696.96 6588559.02)', 'WGS84': 'POINT (17.971622 59.401783)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1500,102.21,1,"{'SWEREF99TM': 'POINT (659294.04 6568805.12)', 'WGS84': 'POINT (17.791653 59.228264)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,80.18,1,"{'SWEREF99TM': 'POINT (673215.97 6585645.92)', 'WGS84': 'POINT (18.048748 59.373825)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1080,78.14,1,"{'SWEREF99TM': 'POINT (667120.03 6589779)', 'WGS84': 'POINT (17.944838 59.413353)'}",4
